Title,Year,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
The Grand Budapest Hotel,2014,3,R,99,Germany,Wes Anderson,Adventure,English,Fox Searchlight,88.0,8.1
The Imitation Game,2014,12,PG-13,114,UK,Morten Tyldum,Biography,English,The Weinstein Company,73.0,8.0
Selma,2014,1,PG-13,128,UK,Ava DuVernay,Biography,English,Paramount Pictures,88.0,7.5
The Theory of Everything,2014,11,PG-13,123,UK,James Marsh,Biography,English,Focus Features,72.0,7.7
Whiplash,2014,10,R,106,USA,Damien Chazelle,Drama,English,Sony Pictures Classics,88.0,8.5
The Big Short,2015,12,R,130,USA,Adam McKay,Biography,English,Paramount Pictures,81.0,7.8
Bridge of Spies,2015,10,PG-13,142,Germany,Steven Spielberg,Drama,English,Dreamworks Pictures,81.0,7.6
Brooklyn,2015,11,PG-13,117,UK,John Crowley,Drama,English,Fox Searchlight Pictures,88.0,7.5
Mad Max: Fury Road,2015,5,R,120,Australia,George Miller,Action,English,Warner Bros.,90.0,8.1
The Martian,2015,10,PG-13,144,UK,Ridley Scott,Adventure,English,20th Century Fox,80.0,8.0
The Revenant,2015,1,R,156,USA,Alejandro G. Iñárritu,Action,English,20th Century Fox,76.0,8.0
Room,2015,1,R,118,Ireland,Lenny Abrahamson,Drama,English,Element Pictures,86.0,8.1
Spotlight,2015,11,R,129,USA,Tom McCarthy,Biography,English,Open Road Films,93.0,8.1
Arrival,2016,11,PG-13,116,USA,Denis Villeneuve,Drama,English,21 Laps Entertainment,81.0,7.9
Fences,2016,12,PG-13,139,USA,Denzel Washington,Drama,English,Paramount Pictures,79.0,7.2
Hacksaw Ridge,2016,11,R,139,Australia,Mel Gibson,Biography,English,Summit Entertainment,71.0,8.1
Hell or High Water,2016,8,R,102,USA,David Mackenzie,Action,English,Film 44,88.0,7.6
Hidden Figures,2016,1,PG,127,USA,Theodore Melfi,Biography,English,20th Century Fox,74.0,7.8
La La Land,2016,12,PG-13,128,USA,Damien Chazelle,Comedy,English,Liongate Films,93.0,8.0
Lion,2016,1,PG-13,118,UK,Garth Davis,Biography,English,See-Saw Films,69.0,8.0
Manchester by the Sea,2016,12,R,137,USA,Kenneth Lonergan,Drama,English,Roadside Attractions ,96.0,7.8
Moonlight,2016,11,R,111,USA,Barry Jenkins,Drama,English,A24 Films,99.0,7.4
Call Me by Your Name,2017,1,R,132,Italy,Luca Guadagnino,Drama,English,Sony Pictures Classics,93.0,7.9
Darkest Hour,2017,12,PG-13,125,UK,Joe Wright,Biography,English,Focus Features,75.0,7.4
Dunkirk,2017,7,PG-13,106,UK,Christopher Nolan,Action,English,Warner Bros. Pictures,94.0,7.9
Get Out,2017,2,R,104,USA,Jordan Peele,Horror,English,Universal Pictures,84.0,7.7
Lady Bird,2017,12,R,94,USA,Greta Gerwig,Comedy,English,A24,94.0,7.4
Phantom Thread,2017,1,R,130,USA,Paul Thomas Anderson,Drama,English,Focus Features,90.0,7.5
The Post,2017,1,PG-13,116,USA,Steven Spielberg,Biography,English,20th Century Fox,83.0,7.2
The Shape of Water,2017,12,R,123,USA,Guillermo del Toro,Adventure,English,Fox Searchlight Pictures,87.0,7.3
"Three Billboards Outside Ebbing, Missouri",2017,12,R,115,UK,Martin McDonagh,Comedy,English,Fox Searchlight Pictures,88.0,8.2
